,Unnamed: 0,Hestekræfter,Brændstoftype,Biltype,Gearkasse,Årgang,Kilometer,Model,Pris,Link,Sidst synet,Farve,Registreringsdato,Antal døre,Antal gear,Cylindre,Trækhjul,Max påhæng,Tank,Km/l,0 - 100 km/t,Tophastighed,Vægt,Lasteevne,Airbags,Grøn Ejerafgift,Nypris,Nummerplade,Make
13318,13318,170,Diesel,Lastbil,Manuel,2018,116000,"Transit 2,0 2.0 TDCi () Chassis RWD Manuel",169900,/fordtransit2020tdcichassisrwdmanuel/id856338,01122017,,02012018,2,6,4,,,,"12,2",,140,3500,,,,,BT89555,Ford
13319,13319,310,Benzin,Hatchback,Automatisk,2021,3000,"S3 2,0 TFSi SB quattro S-tr.",6125,/audis320tfsisbquattrostr/id856334,,,28102020,5,7,4,4x4,,55,"14,9","4,8",250,1575,445,6,3640,625910,,Audi
13320,13320,110,Diesel,Stationcar,Manuel,2016,135000,"i30 1,6 CRDi 110 EM-Edition CW",119900,/hyundaii3016crdi110emeditioncw/id856596,,Blåmetal,10062016,5,6,4,Forhjul,1500,53,"25,6","11,5",188,1410,510,6,2180,269995,,Hyundai
13321,13321,110,Benzin,Hatchback,Manuel,2019,14000,"C4 Cactus 1,2 PT 110 VTR Sport",174000,/citroenc4cactus12pt110vtrsport/id856439,,Koksmetal,29102019,5,6,3,Forhjul,950,50,"23,9","9,4",196,1140,425,6,1080,211014,,Citroën
13322,13322,300,Diesel,Hatchback,Automatisk,2012,258000,"535d 3,0 Gran Turismo aut.",79900,/bmw535d30granturismoaut/id856380,,,29022012,5,8,6,Baghjul,2100,70,"14,9","6,1",250,1945,655,6,8100,1259699,,BMW
13323,13323,90,Benzin,Hatchback,Manuel,2015,172000,"Corsa 1,4 16V Enjoy",64900,/opelcorsa1416venjoy/id856356,,Beige,17062015,5,5,4,Forhjul,800,45,20,"13,2",175,1063,602,6,660,149989,,Opel
13324,13324,177,Diesel,SUV,Automatisk,2019,14000,"5008 2,0 BlueHDi 177 GT EAT8",5500,/peugeot500820bluehdi177gteat8/id868855,,Sort,19022020,5,8,4,Forhjul,1800,53,"23,9","9,2",208,1557,673,6,3520,499010,,Peugeot
13325,13325,125,Benzin,Hatchback,Manuel,2016,107000,"Focus 1,0 SCTi 125 Titanium",133900,/fordfocus10scti125titanium/id856233,,Hvid,12042016,5,6,3,Forhjul,1200,55,"21,3",11,195,1180,720,6,660,260810,,Ford
13326,13326,84,Benzin,Hatchback,Manuel,2015,106000,i20 Premium,88900,/hyundaii20premium/id856252,,Brunmetal,27042015,5,5,4,Forhjul,910,50,20,"13,1",170,1055,525,6,660,180880,,Hyundai
13327,13327,150,Benzin,Sedan,Automatisk,2020,4000,A4 TFSi Advanced+ S-tr.,429900,/audia4tfsiadvancedplusstr/id860648,,Koksmetal,16032020,4,7,4,Forhjul,1500,54,20,"8,9",210,1515,520,6,1160,428215,,Audi
13328,13328,292,Diesel,SUV,Automatisk,2013,209000,"Rover Range Rover sport 3,0 SDV6 HSE aut.",439900,/landroverrangeroversport30sdv6hseaut/id856217,,,15112013,5,8,6,4x4,3500,77,"13,3","7,2",210,2115,885,,8940,,,Land
13329,13329,141,Benzin,Hatchback,Automatisk,2020,2000,"Niro 1,6 PHEV Premium DCT",324900,/kianiro16phevpremiumdct/id856472,,Blåmetal,03092020,5,6,4,Forhjul,1300,45,"44,2","10,8",172,1480,520,6,780,334918,,Kia
13330,13330,130,Benzin,SUV,Manuel,2018,21000,"5008 1,2 e-THP 130 Strike",299900,/peugeot500812ethp130strike/id859716,,Koksmetal,25012019,5,6,3,Forhjul,1100,53,"20,8","10,9",188,1516,604,6,1160,304990,,Peugeot
13331,13331,204,El,Hatchback,Automatisk,2021,0,ID.3 Family,375000,/vwid3family/id856243,,Sølvmetal,,5,1,,Baghjul,,,"69,9","7,3",160,1805,465,7,,360915,,VW
