Årgang,Farve,Vægt,Tophastighed,Sidst synet,Trækhjul,Kilometer,Nypris,Cylindre,Tank,0 - 100 km/t,Airbags,Grøn Ejerafgift,Lasteevne,Model,Gearkasse,Nummerplade,Hestekræfter,Biltype,Max. påhæng,Pris,Registreringsdato,Antal døre,Km/l,Brændstoftype,Antal gear
2017,Sortmetal,1.265,187,,Forhjul,35.000,139.992,4,50,"10,7",6,1.180,415,"Peugeot 208 1,6 BlueHDi 100 Envy",Manuel,,100,Hatchback,700,107.000,18-01-2018,5,"33,3",Diesel,5
2013,Hvid,1.158,168,,Forhjul,111.000,139.998,4,43,"13,1",6,660,402,"Kia Rio 1,2 CVVT Active",Manuel,,86,Hatchback,900,59.800,04-10-2013,5,"21,3",Benzin,5
2008,,1.219,205,,Forhjul,165.000,269.998,4,50,"8,9",8,3.140,531,"Honda Civic 1,8 Sport",Manuel,,140,Hatchback,1.400,39.900,08-02-2008,5,"15,2",Benzin,6
2016,Koksmetal,1.600,210,,Forhjul,91.000,,4,63,"9,6",6,1.880,510,"Audi A5 1,8 TFSi 144 S-line SB Multitr.",Automatisk,,144,Hatchback,1.300,254.800,16-09-2016,5,"16,9",Benzin,8
2014,Koksmetal,1.609,197,,Forhjul,200.000,395.490,4,72,"11,6",6,3.020,471,"Peugeot 508 1,6 e-HDi 114 Active SW",Manuel,,114,Stationcar,1.100,89.900,10-04-2014,5,"23,8",Diesel,6
2016,Grå,1.635,225,,Forhjul,122.000,515.293,4,50,"7,6",6,660,615,"VW Passat 1,4 GTE Variant DSG",Automatisk,,218,Stationcar,1.600,274.800,23-10-2015,5,"31,6",Benzin,6
2013,Sortmetal,949,163,,Forhjul,60.000,132.400,3,45,"13,9",6,1.280,551,"Seat Ibiza 1,2 12V 70 Reference",Manuel,,70,Hatchback,800,59.800,06-11-2012,5,"18,5",Benzin,5
2017,Mørkrødmetal,1.330,183,,Forhjul,93.000,199.992,4,45,"11,3",6,2.220,380,"Peugeot 2008 1,6 BlueHDi 100 Desire Sky",Manuel,,100,SUV,820,139.800,03-11-2017,5,"28,6",Diesel,5
2015,Sølvmetal,840,161,,Forhjul,58.000,113.800,3,35,"14,4",4,660,450,"VW UP! 1,0 60 Move Up! BMT",Manuel,,60,Hatchback,,79.700,19-06-2015,5,"24,4",Benzin,5
2011,Koksmetal,1.063,180,,Forhjul,101.000,192.802,4,48,"11,9",6,1.280,552,"Opel Corsa 1,4 16V Cosmo",Manuel,,100,Hatchback,1.000,49.800,18-11-2010,5,"18,9",Benzin,5
2016,Blåmetal,1.167,168,,Forhjul,63.000,164.998,4,43,"13,1",6,660,393,"Kia Rio 1,2 CVVT Attraction+",Manuel,,86,Hatchback,900,114.900,25-01-2017,5,"21,3",Benzin,5
2015,,1.320,211,,Forhjul,77.000,412.772,4,50,"10,2",6,1.280,445,"Audi A3 1,4 TFSi 125 Ambition Cabrio",Manuel,,125,Cabriolet,1.400,229.900,01-05-2014,2,"18,9",Benzin,6
2012,,950,174,,Forhjul,80.000,129.986,3,50,"12,3",6,660,561,"Citroën C3 1,2 VTi 82 Attraction",Manuel,,82,Hatchback,800,59.800,10-01-2013,5,"22,2",Benzin,5
2013,Hvid,780,157,,Forhjul,170.000,109.995,3,35,"14,2",8,660,410,"Toyota Aygo 1,0 VVT-i T2 Air",Manuel,,68,Hatchback,,39.900,30-09-2013,5,"23,3",Benzin,5
2017,Sortmetal,1.860,185,,,40.000,,4,,,,,,"Nissan Qashqai 1,2 DIG-T 115 SUV 2WD 6 M/T",Automatisk,BL65062,115,Hatchback,,204.900,21-04-2017,4,"17,2",Benzin,6
2007,Sortmetal,1.325,200,,Forhjul,219.000,389.988,4,60,"9,6",7,4.960,575,"Toyota Avensis 2,0 Sol stc.",Manuel,,150,Stationcar,1.400,34.900,20-09-2006,5,"12,3",Benzin,5
2007,Sølvmetal,1.153,180,,Forhjul,98.000,,4,,"12,7",,2.520,487,"Peugeot 207 1,4 Comfort+",Manuel,,88,Hatchback,940,34.800,11-10-2007,5,"15,6",Benzin,5
2002,Sølvmetal,1.125,193,,Forhjul,166.000,229.990,4,50,"11,2",4,3.140,400,"Peugeot 206 1,6 16V CC",Manuel,,110,Coupe,900,24.990,17-04-2002,2,"14,3",Benzin,5
2020,Sølvmetal,1.185,170,,Forhjul,4.000,175.916,3,50,"10,7",6,1.080,465,"Hyundai i20 1,0 T-GDi Trend DCT",Automatisk,,100,Hatchback,800,169.800,26-08-2020,5,"23,9",Benzin,7
2016,,1.515,250,,4x4,231.000,533.000,4,66,"5,8",7,3.740,705,"Skoda Superb 2,0 TSi 280 Style DSG 4x4",Automatisk,,280,Hatchback,2.200,249.900,01-04-2016,5,"14,1",Benzin,6
1985,Blåmetal,1.200,205,,Forhjul,214.000,,4,60,"10,5",,4.680,425,"Toyota Celica 2,0 GT aut.",Automatisk,,150,Hatchback,,22.900,20-12-1985,3,"12,8",Benzin,
2014,Hvid,1.792,,,Forhjul,153.000,167.645,4,80,,1,8.100,869,"Fiat Scudo 1,6 MJT 90 Business L1H1",Manuel,,90,Varevogn,1.672,34.800,30-12-2013,5,"14,5",Diesel,5
2017,Gråmetal,1.508,225,,Forhjul,106.000,625.000,4,68,"7,7",6,3.020,692,"Volvo V60 2,0 D4 190 R-Design aut.",Automatisk,,190,Stationcar,1.800,286.000,30-01-2017,5,"22,7",Diesel,8
2015,Hvidmetal,1.628,190,,Forhjul,141.000,,4,70,10,6,3.880,877,"Volvo XC60 2,0 D3 150 Ocean Race aut.",Automatisk,,150,SUV,1.800,319.900,31-07-2015,5,"21,3",Diesel,6
1998,,1.175,201,,Forhjul,231.000,217.751,4,,"9,9",4,4.960,575,"VW Golf IV 1,8",Manuel,,125,Hatchback,1.200,19.999,22-12-1998,5,12,Benzin,5
2015,,1.595,220,,Forhjul,142.000,675.004,4,70,"8,6",6,3.880,695,"Volvo V70 2,0 D4 181 Momentum Eco aut.",Automatisk,,181,Stationcar,1.800,259.900,26-11-2015,5,"22,2",Diesel,8
2016,,,,23-09-2019,,88.000,,,,,,,,"Opel Karl 1,0 cosmos 5d",Manuel,,74,Hatchback,,65.000,,,,Benzin,
2013,Sort,1.420,205,,Forhjul,107.000,376.611,4,60,10,7,3.140,580,"Toyota Avensis 2,0 VVT-i T2 Premium MDS",Automatisk,,152,Sedan,1.800,139.900,24-05-2013,4,"14,5",Benzin,6
2014,Sølvmetal,1.122,180,,Forhjul,101.000,167.950,3,42,"10,8",7,660,448,"Ford Fiesta 1,0 SCTi 100 Trend aut.",Automatisk,,100,Hatchback,900,94.900,29-04-2014,5,"20,4",Benzin,6
2017,Hvid,1.307,220,,Forhjul,58.000,289.000,4,46,"8,2",6,1.880,453,"Honda Civic 1,5 VTEC Turbo Sport",Manuel,,182,Hatchback,,204.880,24-08-2017,5,"17,2",Benzin,6
2009,Sølvmetal,1.382,185,,Forhjul,347.000,289.991,4,60,"11,9",6,5.680,768,"Peugeot 308 1,6 HDi 109 Premium SW 7prs",Manuel,,109,Stationcar,1.000,24.800,26-03-2009,5,"19,6",Diesel,6
2005,,1.450,179,,Forhjul,160.000,144.384,4,58,"10,4",6,3.890,600,"Kia Sportage 2,0 LX Van",Manuel,,141,Varevogn,1.400,39.800,14-03-2005,5,"12,5",Benzin,5
2017,,1.658,215,,Forhjul,114.000,454.085,4,70,"9,9",8,5.540,657,"Opel Insignia 2,0 CDTi 170 Cosmo ST aut.",Automatisk,,170,Stationcar,1.800,179.900,01-02-2017,5,"17,5",Diesel,6
2019,Sortmetal,1.293,212,,Forhjul,30.000,,4,48,"9,6",6,3.520,582,"Opel Astra 1,6 CDTi 136 Enjoy ST",Manuel,,136,Stationcar,1.500,169.900,05-02-2019,5,"24,4",Diesel,6
2018,Sortmetal,1.929,220,,4x4,40.000,1.143.995,4,71,"7,8",6,6.040,821,"Volvo XC90 2,0 D5 235 Inscription aut. AWD 7p",Automatisk,,235,SUV,2.700,6.354,21-09-2017,5,"17,5",Diesel,8
2018,Sortmetal,1.929,220,,4x4,40.000,1.143.995,4,71,"7,8",6,6.040,821,"Volvo XC90 2,0 D5 235 Inscription aut. AWD 7p",Automatisk,,235,SUV,2.700,799.900,21-09-2017,5,"17,5",Diesel,8
2012,Rød,885,169,,Forhjul,116.000,99.996,4,35,"12,3",6,660,525,"Hyundai i10 1,2 Comfort",Manuel,,86,Hatchback,800,38.800,24-04-2012,5,"21,7",Benzin,5
2019,Blåmetal,1.354,191,,Forhjul,53.500,280.014,4,47,"10,5",6,3.520,646,"Ford Focus 1,5 EcoBlue Titanium stc. aut.",Automatisk,,120,Stationcar,1.400,252.500,15-11-2018,5,"24,4",Diesel,8
2020,Sølvmetal,1.039,153,,Forhjul,4.000,112.917,3,36,"17,8",6,1.000,271,"Hyundai i10 1,0 MPi Advanced",Manuel,,67,Hatchback,,121.900,21-08-2020,5,"26,8",Benzin,5
2018,Koksmetal,1.233,181,,Forhjul,36.000,221.998,3,50,12,6,1.780,542,"Hyundai Kona 1,0 T-GDi Trend",Manuel,,120,SUV,1.200,179.900,28-03-2018,5,"19,2",Benzin,6
2016,Gråmetal,1.800,226,,Forhjul,127.800,,4,73,"8,5",6,3.880,525,"Audi A6 2,0 TDi 190 Ultra S-line Avant Str",Automatisk,,190,Stationcar,1.800,369.900,19-08-2016,5,"22,2",Diesel,7
2016,Gråmetal,1.800,226,,Forhjul,127.800,,4,73,"8,5",6,3.880,525,"Audi A6 2,0 TDi 190 Ultra S-line Avant Str",Automatisk,,190,Stationcar,1.800,2.993,19-08-2016,5,"22,2",Diesel,7
2019,Koksmetal,1.240,210,,Forhjul,61.000,271.018,4,50,"9,1",7,1.080,570,"VW Golf VII 1,5 TSi 130 Comfortline DSG",Automatisk,,130,Hatchback,1.400,229.000,30-10-2018,5,"22,4",Benzin,7
2012,Sort,829,171,,Forhjul,198.000,,3,35,"13,2",4,660,461,"VW UP! 1,0 75 Black Up!",Manuel,,75,Hatchback,,39.900,21-09-2011,3,"23,8",Benzin,5
2020,,1.340,205,,Forhjul,19.000,342.918,4,50,"8,8",7,3.520,610,"VW T-Roc 2,0 TDi 150 Sport DSG",Automatisk,,150,SUV,1.600,339.800,01-01-2020,5,"23,4",Diesel,7
2016,,1.475,210,,Baghjul,124.000,503.805,4,57,"8,9",6,3.020,665,"BMW 318d 2,0 Touring",Manuel,,150,Stationcar,1.600,189.900,14-09-2015,5,"23,3",Diesel,6
2006,,975,175,,Forhjul,310.000,139.987,4,,11,6,2.520,510,"Suzuki Swift 1,3 GL-A",Manuel,,92,Hatchback,1.000,9.800,05-04-2006,3,"16,4",Benzin,5
2002,,825,165,,Forhjul,284.000,180.598,3,34,"13,9",4,1.260,375,"VW Lupo 1,2 TDi 3L",Automatisk,,61,Hatchback,,16.799,25-02-2002,3,"33,3",Diesel,5
2006,,,,20-09-2019,,313.000,,,,,,,,"Mercedes R320 3,0",Automatisk,,222,Van,,44.500,,,,Diesel,
2020,Hvidmetal,1.539,173,,Forhjul,2.000,255.820,4,,"10,1",6,860,361,"Renault Captur 1,6 E-Tech Intens",Automatisk,,160,SUV,750,259.900,30-09-2020,5,"35,5",Benzin,8
2014,Sort,1.540,180,,Forhjul,90.000,474.898,4,60,"11,4",6,4.680,720,"Nissan X-Trail 1,6 dCi 130 Tekna X-tr.",Automatisk,,130,SUV,1.500,224.880,26-03-2015,5,"19,6",Diesel,1
2013,Sølvmetal,1.847,170,,Forhjul,169.000,204.665,4,,"12,2",1,7.220,1.085,"Citroën Jumpy 2,0 HDi 125 Kassevogn L2H1",Manuel,,128,Varevogn,2.000,47.800,30-05-2013,5,"15,6",Diesel,6
2017,Sortmetal,880,200,,Forhjul,112.000,179.990,3,37,"11,4",6,660,550,"Suzuki Baleno 1,0 Boosterjet Exclusive",Manuel,,112,Hatchback,1.000,109.900,02-02-2017,5,"22,7",Benzin,5
2006,Champagnemetal,1.525,170,,4x4,445.000,218.992,4,66,"13,2",6,,645,"Suzuki Grand Vitara 1,9 DDiS GLX Van",Manuel,,129,Varevogn,2.000,27.800,14-03-2006,5,,Diesel,5
2015,,1.165,205,,Forhjul,85.000,321.990,3,53,10,6,660,675,"Peugeot 308 1,2 e-THP 130 Allure SW",Manuel,,130,Stationcar,1.200,2.099,31-10-2014,5,"21,3",Benzin,6
2018,Sortmetal,1.197,215,,Forhjul,33.000,268.029,4,50,8,7,1.160,583,"Seat Leon 1,4 TSi 150 Xcellence ST DSG",Automatisk,,150,Stationcar,1.400,229.900,08-05-2018,5,20,Benzin,7
2011,,1.265,200,,Forhjul,206.000,231.494,4,60,10,6,3.140,528,"Chevrolet Cruze 1,8 LS",Manuel,,141,Sedan,1.200,49.900,21-03-2011,4,"14,7",Benzin,5
2020,Koksmetal,1.590,210,,Forhjul,21.000,426.018,4,66,"9,1",6,3.260,580,"VW Passat 2,0 TDi 150 Business+ Variant DSG",Automatisk,,150,Stationcar,2.000,319.900,17-10-2019,5,"26,8",Diesel,7
2016,Sort,1.915,250,,4x4,82.000,1.891.398,8,70,"4,4",6,6.200,635,"BMW 650i 4,4 Gran Coupé xDrive aut.",Automatisk,,450,Sedan,,3.476,26-01-2016,4,"10,9",Benzin,8
2020,Koksmetal,1.220,188,,Forhjul,30.000,210.913,3,50,"11,1",6,1.160,620,"Hyundai i30 1,0 T-GDi Value Edition stc.",Manuel,,120,Stationcar,1.200,184.900,28-02-2020,5,"21,6",Benzin,6
2013,Sortmetal,1.179,189,,Forhjul,99.000,,3,48,"11,2",7,660,581,"Ford B-MAX 1,0 SCTi 120 Trend",Manuel,,120,MPV,750,84.900,05-12-2012,5,"20,4",Benzin,5
2018,Hvidmetal,1.445,205,,Forhjul,124.000,348.400,4,51,"9,2",6,3.020,570,"BMW X1 2,0 sDrive18d aut. Van",Automatisk,,150,Varevogn,1.800,249.900,02-08-2017,5,"23,3",Diesel,8
2015,,,,,Baghjul,210.000,,,,,,3.880,,"BMW 320d 2,0 Touring M-Sport aut.",Automatisk,,184,Stationcar,,239.900,28-05-2015,5,"20,8",Diesel,8
2017,Sort,1.541,216,,Forhjul,99.000,485.588,4,66,"8,9",6,3.880,479,"VW Passat 2,0 TDi 150 Highline Variant DSG",Automatisk,,150,Stationcar,2.000,264.800,02-05-2017,5,"22,2",Diesel,6
2003,Rød,1.025,200,,Forhjul,217.000,282.001,4,50,"9,2",4,3.140,455,"Mini Cooper 1,6",Manuel,,115,Hatchback,650,39.800,11-12-2003,3,"14,9",Benzin,5
2009,,861,154,,Forhjul,140.000,129.997,4,35,"15,1",4,660,489,"Kia Picanto 1,1 Sport+",Manuel,,65,Hatchback,700,34.900,27-11-2009,5,20,Benzin,5
2018,,3.500,161,01-09-2020,,40.000,,4,,,,,,"Mercedes Sprinter 2,1 316  CDI R2  Van 6g",Manuel,CE71831,163,Van,,224.900,31-10-2018,6,"12,2",Diesel,6
2017,Hvid,1.645,,,Forhjul,154.000,203.679,4,60,,1,4.680,590,"Ford Transit Connect 1,5 TDCi 120 Trend aut. kort",Automatisk,,120,Varevogn,,97.800,27-02-2017,,20,Diesel,6
2016,Hvidmetal,1.634,192,,Forhjul,124.000,334.995,4,70,"12,4",7,3.020,496,"Hyundai i40 1,7 CRDi 115 Trend CW",Manuel,,115,Stationcar,1.500,139.500,26-05-2016,5,"23,8",Diesel,6
2015,Sortmetal,1.745,222,,Baghjul,146.000,,4,59,"8,6",,3.880,695,"Mercedes E220 2,2 BlueTEC Edition E stc. aut.",Automatisk,,170,Stationcar,2.000,309.995,29-10-2015,5,"20,8",Diesel,9
2013,Koksmetal,905,160,,Forhjul,102.000,82.069,3,35,"13,5",6,660,270,"Peugeot 107 1,0 Champion Air",Manuel,,68,Hatchback,,38.900,09-12-2013,5,"23,3",Benzin,5
2018,,1.824,198,,Forhjul,66.000,426.373,4,70,"10,8",7,5.180,182,"Ford S-MAX 2,0 TDCi 150 Titanium",Manuel,,150,MPV,2.000,264.900,31-03-2018,5,20,Diesel,6
2011,,905,166,,Forhjul,140.000,102.997,4,35,"12,8",4,660,510,Hyundai i10 Comfort,Manuel,,78,Hatchback,800,39.900,15-02-2011,5,"20,4",Benzin,5
2012,Hvid,1.790,230,,4x4,239.000,813.110,6,65,"7,2",6,6.380,535,"Audi A6 3,0 TDi 204 Avant quattro S-tr.",Automatisk,,204,Stationcar,1.800,199.700,29-02-2012,5,"17,2",Diesel,7
2016,,1.111,191,,Forhjul,78.000,173.700,3,45,"10,5",6,660,469,"VW Polo 1,0 TSi 95 BlueMotion",Manuel,,95,Hatchback,500,124.900,08-04-2016,5,"24,4",Benzin,5
2015,,1.165,205,,Forhjul,85.000,321.990,3,53,10,6,660,675,"Peugeot 308 1,2 e-THP 130 Allure SW",Manuel,,130,Stationcar,1.200,114.900,31-10-2014,5,"21,3",Benzin,6
2010,Sortmetal,1.326,185,,Forhjul,174.000,287.001,4,55,"11,3",6,3.880,699,"Ford C-MAX 1,6 TDCi Trend Collection",Manuel,,109,MPV,1.300,49.500,24-06-2010,5,"22,2",Diesel,5
2018,,1.453,218,,Forhjul,42.000,,4,66,"8,6",6,1.780,487,"VW Passat 1,4 TSi 150 Comfort Prem. Vari DSG",Automatisk,,150,Stationcar,1.600,279.900,26-10-2017,5,"19,6",Benzin,7
2016,Hvid,1.599,217,,Forhjul,65.000,378.158,4,40,"7,6",7,660,421,"VW Golf VII 1,4 GTE DSG",Automatisk,,204,Hatchback,1.500,224.900,24-06-2015,5,"36,4",Benzin,6
2018,Gråmetal,1.453,218,,Forhjul,47.000,,4,66,"8,6",6,1.280,487,"VW Passat 1,4 TSi 150 Comfort Prem. Vari DSG",Automatisk,,150,Stationcar,1.600,279.900,27-09-2017,5,"19,6",Benzin,7
2020,Koksmetal,1.170,193,,Forhjul,14.000,251.017,3,40,"10,2",7,1.160,580,"VW T-Cross 1,0 TSi 115 Life DSG",Automatisk,,115,SUV,1.100,269.700,25-11-2019,5,22,Benzin,7
2008,Hvid,1.720,,,Forhjul,208.000,,,,,,7.320,1.212,"Citroën Jumpy 2,0 HDi 120 L2H1",Manuel,,120,Varevogn,,22.800,25-07-2008,4,"9,9",Diesel,6
2015,,1.155,192,,Forhjul,82.000,268.813,4,48,9,6,1.880,535,"Mazda CX-3 2,0 Sky-G 120 Optimum",Manuel,,120,SUV,1.200,169.000,04-02-2016,5,"16,9",Benzin,6
2017,Gråmetal,1.215,169,,Forhjul,57.000,194.990,3,45,"13,5",6,660,367,"Peugeot 2008 1,2 VTi 82 Active",Manuel,,82,SUV,1.110,144.900,13-03-2017,5,"20,4",Benzin,5
2017,Gråmetal,1.215,169,,Forhjul,57.000,194.990,3,45,"13,5",6,660,367,"Peugeot 2008 1,2 VTi 82 Active",Manuel,,82,SUV,1.110,2.185,13-03-2017,5,"20,4",Benzin,5
2019,Gråmetal,1.310,229,,Forhjul,25.000,,4,43,"8,5",,1.160,620,"Mercedes CLA200 1,3 AMG Line aut.",Automatisk,,163,Sedan,1.600,435.000,01-05-2019,4,"20,4",Benzin,7
2008,,1.063,173,,Forhjul,139.000,,4,45,"12,4",6,1.880,537,"Opel Corsa 1,4 Enjoy",Manuel,,90,Hatchback,1.000,36.800,01-12-2008,5,"17,2",Benzin,5
2015,Sortmetal,1.139,184,,Forhjul,75.000,219.097,4,45,"10,8",6,660,441,"VW Polo 1,2 TSi 90 Comfortline DSG BMT",Automatisk,,90,Hatchback,1.000,139.900,23-01-2015,5,"21,3",Benzin,7
2015,Sølvmetal,1.035,165,,Forhjul,12.000,127.989,4,42,"12,3",7,660,445,"Suzuki Swift 1,2 Dualjet Comfort",Manuel,,90,Hatchback,1.000,94.800,26-01-2017,5,"23,3",Benzin,5
2018,Sortmetal,1.505,240,,Forhjul,45.000,487.360,4,54,"7,3",6,1.780,475,"Audi A4 2,0 TFSi 190 Sport S-tr.",Automatisk,,190,Sedan,1.500,319.900,29-11-2017,4,"18,5",Benzin,7
2018,Sortmetal,1.505,240,,Forhjul,45.000,487.360,4,54,"7,3",6,1.780,475,"Audi A4 2,0 TFSi 190 Sport S-tr.",Automatisk,,190,Sedan,1.500,1.095,29-11-2017,4,"18,5",Benzin,7
2018,Sortmetal,1.505,240,,Forhjul,45.000,487.360,4,54,"7,3",6,1.780,475,"Audi A4 2,0 TFSi 190 Sport S-tr.",Automatisk,,190,Sedan,1.500,1.095,29-11-2017,4,"18,5",Benzin,7
2020,,,,,,1.000,,,,,,,,"Renault Master 2,3 T35 L3H2  DCI TwinTurbo Tekno start/stop  Van 6g",Manuel,,150,Van,,199.900,04-12-2020,,,Diesel,6
2011,Sølvmetal,1.418,172,,Forhjul,183.000,204.995,4,53,14,6,2.180,402,"Hyundai i30 1,6 CRDi 90 Classic Eco",Manuel,,90,Hatchback,1.400,46.900,30-12-2011,5,"25,6",Diesel,6
2016,Sort,1.280,194,,Forhjul,110.000,254.400,4,50,"10,5",7,2.180,550,"Seat Leon 1,6 TDi 110 Style DSG",Automatisk,,110,Hatchback,1.300,149.900,06-09-2016,5,"25,6",Diesel,7
2016,Brunmetal,1.475,233,,Forhjul,139.000,,4,66,"7,8",7,3.880,665,"Skoda Superb 2,0 TDi 190 L&K Combi DSG",Automatisk,,190,Stationcar,2.200,289.900,07-09-2015,5,"21,7",Diesel,6
2004,Sølvmetal,1.625,240,,Baghjul,171.000,1.077.000,6,62,"8,2",6,8.020,550,"Mercedes CLK320 3,2 Cabriolet Avantgarde aut.",Automatisk,,218,Cabriolet,1.500,139.900,17-03-2004,2,"9,6",Benzin,5
2017,Gulmetal,1.055,170,,Forhjul,67.000,137.574,4,50,"13,1",6,660,525,Hyundai i20 Passion,Manuel,,84,Hatchback,910,119.900,30-09-2016,5,"21,3",Benzin,5
2001,Sort,1.425,215,,Forhjul,200.000,460.000,6,66,"9,5",4,6.820,575,"Rover 75 2,5 V6 Connoisseur",Manuel,,177,Sedan,1.600,36.900,22-05-2001,4,"10,2",Benzin,5
2020,Sortmetal,1.530,209,,Forhjul,6.000,323.917,4,58,"8,9",7,1.160,570,"VW Touran 1,5 TSi 150 Comfort. Family DSG 7p",Automatisk,,150,MPV,1.500,329.900,06-07-2020,5,"20,4",Benzin,7
2017,Sølvmetal,1.159,202,,Forhjul,45.000,241.900,3,50,"9,6",6,1.080,601,"Seat Leon 1,0 TSi 115 Style ST DSG",Automatisk,,115,Stationcar,1.100,184.700,03-03-2017,5,"22,7",Benzin,7
2013,,840,159,,Forhjul,93.000,118.790,4,35,"13,1",6,660,480,"Ford Ka 1,2 Titanium",Manuel,,69,Hatchback,,44.900,20-09-2013,3,"20,4",Benzin,5
2016,,1.689,170,,Forhjul,54.000,179.520,4,,,1,7.220,1.209,"Peugeot Expert 2,0 HDi 128 L1H1 Van",Manuel,,128,Varevogn,2.000,114.900,30-06-2016,,"15,6",Diesel,6
2019,Blåmetal,1.518,201,,Forhjul,4.000,356.401,4,56,"10,3",6,2.380,502,"Mazda CX-5 2,0 Sky-G 165 Optimum",Manuel,,165,SUV,1.900,349.700,27-08-2020,5,"17,2",Benzin,6
2019,Koksmetal,955,171,,Forhjul,35.000,146.010,3,50,"13,5",6,1.080,575,"Peugeot 208 1,2 PT 82 Allure+",Manuel,,82,Hatchback,,129.900,02-04-2019,5,"23,4",Benzin,5
2018,Blåmetal,840,180,,Forhjul,44.000,166.011,4,37,"12,3",6,1.080,565,"Suzuki Baleno 1,2 Dualjet Exclusive",Manuel,,90,Hatchback,1.000,129.900,26-04-2018,5,"23,8",Benzin,5
2018,Hvid,1.460,191,,Forhjul,57.000,286.015,4,50,"9,8",6,3.260,420,"Hyundai Kona 1,6 CRDi 136 Premium DCT",Automatisk,,136,SUV,1.250,209.900,28-03-2019,5,"26,8",Diesel,7
2020,Sølvmetal,1.135,130,,Forhjul,11.000,158.915,,,"11,9",6,660,395,VW E-UP!,Automatisk,,83,Hatchback,,174.800,29-07-2020,5,"76,1",El,1
2014,,1.140,174,,Forhjul,92.000,139.989,3,50,"12,3",6,660,371,"Citroën C3 1,2 VTi 82 Seduction",Manuel,,82,Hatchback,800,56.500,29-01-2014,5,"22,2",Benzin,5
2014,Sølvmetal,940,161,,Forhjul,84.000,105.999,3,35,"14,4",4,660,350,"Skoda Citigo 1,0 60 Ambition GreenTec",Manuel,,60,Hatchback,,69.900,01-05-2014,5,"24,4",Benzin,5
2017,Brunmetal,1.398,200,,Forhjul,45.000,375.793,4,58,"9,2",7,1.880,582,"VW Tiguan 1,4 TSi 150 Comfortline DSG",Automatisk,,150,SUV,1.800,279.900,17-05-2017,5,"16,7",Benzin,6
2013,Brunmetal,1.295,189,,Forhjul,85.000,324.992,4,55,"12,1",7,2.180,855,"Citroën Grand C4 Picasso 1,6 e-HDi 115 Seduction",Manuel,,115,MPV,1.500,139.900,18-12-2013,5,25,Diesel,6
2009,Beige,840,160,,Forhjul,90.000,168.491,4,35,"12,9",7,1.280,465,"Fiat 500 1,2 Lounge",Manuel,,69,Hatchback,800,44.900,21-04-2009,3,"19,6",Benzin,5
2009,Gråmetal,950,185,,Forhjul,182.000,149.993,4,45,10,6,2.520,535,"Suzuki Swift 1,5 GL-A",Manuel,,102,Hatchback,1.000,29.800,22-09-2009,3,"16,4",Benzin,5
2016,Sølvmetal,1.242,195,,Forhjul,123.000,290.300,4,50,"10,4",6,2.180,668,"Honda Civic 1,6 i-DTEC Elegance Tourer",Manuel,,120,Stationcar,1.400,124.900,07-06-2016,5,"25,6",Diesel,6
2015,Hvid,1.008,155,,Forhjul,59.000,79.996,3,40,15,6,660,412,"Hyundai i10 1,0 Move",Manuel,,66,Hatchback,,59.775,10-06-2015,5,"23,3",Benzin,5
2018,Koksmetal,1.242,200,,Forhjul,116.000,291.000,4,50,"10,3",9,2.180,670,"Skoda Octavia 1,6 TDi 115 Style Combi DSG",Automatisk,,115,Stationcar,1.500,177.900,09-05-2017,5,"25,6",Diesel,7
2017,Sort,1.541,216,,Forhjul,126.000,454.598,4,66,"8,9",6,3.880,479,"VW Passat 2,0 TDi 150 Comfortl. Vari. DSG",Automatisk,,150,Stationcar,2.000,239.800,01-12-2016,5,"22,2",Diesel,6
2005,Koks,1.275,203,,Forhjul,290.000,343.724,4,61,13,6,6.540,600,"Opel Vectra 2,0 DTi Comfort",Manuel,,100,Sedan,1.400,13.900,07-01-2005,4,"17,9",Diesel,5
2013,,1.249,203,,Forhjul,122.000,309.997,4,50,"9,3",7,660,561,"VW Golf VII 1,4 TSi 122 Comfortline DSG BMT",Automatisk,,122,Hatchback,1.400,144.700,22-05-2013,5,20,Benzin,7
2012,Champagnemetal,1.441,174,,Forhjul,211.000,225.987,4,50,"14,5",6,3.020,370,"Citroën C3 Picasso 1,6 e-HDi 90 Seduction E6G",Automatisk,,90,MPV,1.200,44.700,03-02-2012,5,"23,8",Diesel,6
2017,Gråmetal,1.525,170,,Forhjul,72.000,339.985,4,50,11,7,660,335,"Toyota C-HR 1,8 Hybrid C-HIC CVT",Automatisk,,122,SUV,725,209.800,11-07-2017,5,"25,6",Benzin,1
2018,Hvid,955,155,,Forhjul,153.000,149.989,3,42,"15,3",7,1.080,495,"Toyota Yaris 1,0 VVT-i T2",Manuel,,69,Hatchback,730,99.900,29-05-2018,5,"23,3",Benzin,5
2014,Sortmetal,1.247,216,,Forhjul,165.000,322.998,4,50,"8,6",9,3.020,670,"Skoda Octavia 2,0 TDi 150 Elegance Combi",Manuel,,150,Stationcar,1.600,114.900,05-12-2013,5,"23,8",Diesel,6
2009,Sortmetal,952,175,,Forhjul,268.000,159.993,4,,11,6,1.880,533,"Suzuki Swift 1,3 GLX",Manuel,,92,Hatchback,1.000,9.800,10-02-2009,5,"17,2",Benzin,5
