Årgang,Farve,Vægt,Tophastighed,Sidst synet,Trækhjul,Kilometer,Nypris,Cylindre,Tank,0 - 100 km/t,Airbags,Grøn Ejerafgift,Lasteevne,Model,Gearkasse,Nummerplade,Hestekræfter,Biltype,Max. påhæng,Pris,Registreringsdato,Antal døre,Km/l,Brændstoftype,Antal gear
2006,,1.025,170,,Forhjul,199.000,139.997,4,45,"11,2",4,1.880,475,"Hyundai Getz 1,4 GL",Manuel,,96,Hatchback,1.100,12.900,05-07-2006,5,"16,7",Benzin,5
2013,Sølvmetal,1.305,195,,Forhjul,52.000,274.001,4,55,"10,8",9,2.180,550,"Skoda Octavia 1,6 TDi 105 Elegance",Manuel,,105,Hatchback,1.500,119.900,26-03-2013,5,"26,3",Diesel,5
2020,Sortmetal,2.395,180,,4x4,11.000,,,,"5,1",7,740,545,Mercedes EQC400 AMG Line aut. 4-M,Automatisk,,408,SUV,1.800,2.624,27-02-2020,5,"48,4",El,1
2020,Sortmetal,2.395,180,,4x4,11.000,,,,"5,1",7,740,545,Mercedes EQC400 AMG Line aut. 4-M,Automatisk,,408,SUV,1.800,2.624,27-02-2020,5,"48,4",El,1
2016,,1.455,207,,Forhjul,112.000,307.177,4,51,"9,3",6,3.020,635,"BMW 218d 2,0 Gran Tourer Advantage aut. Van",Automatisk,,150,Varevogn,1.500,169.900,29-01-2016,5,"23,3",Diesel,8
2014,Sortmetal,1.710,224,,Baghjul,154.000,709.569,4,70,"8,2",6,4.680,665,"BMW 520d 2,0 Touring aut.",Automatisk,,184,Stationcar,2.000,239.900,01-04-2014,5,"20,4",Diesel,8
2014,,1.340,190,,Forhjul,129.000,275.599,4,60,"12,4",6,1.220,524,"Renault Megane III 1,5 dCi 110 Expression ST",Manuel,,110,Stationcar,1.500,74.900,16-12-2014,5,"28,6",Diesel,6
2021,Sort,1.712,180,,Forhjul,12.000,573.003,3,,"7,3",8,920,578,"Volvo XC40 1,5 T5 ReCharge R-Design aut.",Automatisk,,262,SUV,1.800,449.500,06-08-2020,5,"31,1",Benzin,8
2011,Sortmetal,1.576,221,,Forhjul,164.000,,4,70,"8,5",7,660,764,"Ford S-MAX 2,0 SCTi 203 Titanium aut. 7prs",Automatisk,,203,MPV,1.500,134.500,16-03-2011,5,"33,3",Benzin,6
2014,braunmetallic,,,,,108.475,,,,,,,,VW Caddy TSI Trendline 85HK,,,,,,134.900,,,"14,7",,
2010,blackmetallic,,,,,108.000,,,,,,,,Mazda 5 Touring 115HK,,,,,,109.900,,,"13,3",,
2011,,979,175,,Forhjul,145.000,164.751,4,45,"12,2",7,1.880,516,"Ford Fiesta 1,4 Trend",Manuel,,96,Hatchback,800,44.989,21-11-2011,5,"17,2",Benzin,5
2016,,1.455,207,,Forhjul,112.000,307.177,4,51,"9,3",6,3.020,635,"BMW 218d 2,0 Gran Tourer Advantage aut. Van",Automatisk,,150,Varevogn,1.500,139.900,29-01-2016,5,"23,3",Diesel,8
2015,Mørkblåmetal,954,180,,Forhjul,77.000,171.400,3,42,"12,2",7,660,601,"Ford Fiesta 1,0 SCTi 100 Titanium",Manuel,,100,Hatchback,800,89.500,29-04-2015,5,"23,3",Benzin,5
2014,,1.340,190,,Forhjul,129.000,275.599,4,60,"12,4",6,1.220,524,"Renault Megane III 1,5 dCi 110 Expression ST",Manuel,,110,Stationcar,1.500,1.449,16-12-2013,5,"28,6",Diesel,6
1989,,,,31-08-2020,,182.000,,,,,,,,"BMW 320 2,0",Automatisk,,128,Cabriolet,,Byd,,,,Benzin,
2005,,1.075,170,,Forhjul,204.000,177.000,4,45,"14,1",2,2.520,550,"Skoda Fabia 1,4 16V 75 Ambiente Combi",Manuel,,75,Stationcar,800,24.900,04-05-2005,5,"15,4",Benzin,5
2006,Grå,1.550,237,,Baghjul,232.000,791.000,6,70,"8,3",6,6.200,625,"BMW 525i 2,5 Touring Steptr.",Automatisk,,218,Stationcar,2.000,94.500,23-05-2006,5,"10,5",Benzin,6
